p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Tyler Toffoli,Right Wing,Forward,8,Montréal Canadiens,1231,Adrian Kempe,Center,Forward,26,Los Angeles Kings,1178,126
Sean Couturier,Center,Forward,4,Philadelphia Flyers,1522,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,734,126
Teddy Blueger,Center,Forward,5,Pittsburgh Penguins,1208,Dominik Simon,Center,Forward,20,Calgary Flames,922,126
Reilly Smith,Right Wing,Forward,54,Vegas Golden Knights,1319,Chandler Stephenson,Center,Forward,54,Vegas Golden Knights,964,126
Patrick Kane,Right Wing,Forward,16,Chicago Blackhawks,1646,Andrew Shaw,Right Wing,Forward,16,Chicago Blackhawks,391,126
Ryan Lindgren,Defenseman,Defenseman,3,New York Rangers,1014,Marc Staal,Defenseman,Defenseman,17,Detroit Red Wings,933,126
Nick Foligno,Left Wing,Forward,29,Columbus Blue Jackets,1401,Alexandre Texier,Center,Forward,29,Columbus Blue Jackets,490,126
Nathan Beaulieu,Defenseman,Defenseman,52,Winnipeg Jets,685,Dylan DeMelo,Defenseman,Defenseman,52,Winnipeg Jets,1230,126
Sami Niku,Defenseman,Defenseman,52,Winnipeg Jets,275,Dmitry Kulikov,Defenseman,Defenseman,1,New Jersey Devils,1023,126
Braydon Coburn,Defenseman,Defenseman,14,Tampa Bay Lightning,620,Kevin Shattenkirk,Defenseman,Defenseman,24,Anaheim Ducks,1400,126
Jakob Silfverberg,Right Wing,Forward,24,Anaheim Ducks,1315,Isac Lundestrom,Center,Forward,24,Anaheim Ducks,240,127
Jordan Staal,Center,Forward,12,Carolina Hurricanes,1250,Justin Williams,Right Wing,Forward,0,No team,272,127
Kyle Turris,Center,Forward,22,Edmonton Oilers,1008,Calle Jarnkrok,Center,Forward,18,Nashville Predators,1077,127
John Tavares,Center,Forward,10,Toronto Maple Leafs,1420,Andreas Johnsson,Left Wing,Forward,1,New Jersey Devils,697,127
Brian Boyle,Center,Forward,0,No team,511,Frank Vatrano,Center,Forward,13,Florida Panthers,1079,127
Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1186,Tomas Hertl,Center,Forward,28,San Jose Sharks,935,127
Alexander Steen,Left Wing,Forward,19,St. Louis Blues,781,Ivan Barbashev,Center,Forward,19,St. Louis Blues,932,127
Braydon Coburn,Defenseman,Defenseman,14,Tampa Bay Lightning,620,Erik Cernak,Defenseman,Defenseman,14,Tampa Bay Lightning,1339,127
Ryan Poehling,Center,Forward,8,Montréal Canadiens,279,Nate Thompson,Center,Forward,52,Winnipeg Jets,914,128
Oscar Klefbom,Defenseman,Defenseman,22,Edmonton Oilers,1668,Caleb Jones,Defenseman,Defenseman,22,Edmonton Oilers,615,128
Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1681,Oskar Sundqvist,Center,Forward,19,St. Louis Blues,820,128
Artem Anisimov,Center,Forward,9,Ottawa Senators,695,Anthony Duclair,Left Wing,Forward,0,No team,1154,128
Alex DeBrincat,Left Wing,Forward,16,Chicago Blackhawks,1296,Ryan Carpenter,Center,Forward,16,Chicago Blackhawks,1003,128
Teuvo Teravainen,Left Wing,Forward,12,Carolina Hurricanes,1368,Ryan Dzingel,Center,Forward,12,Carolina Hurricanes,937,128
TJ Brodie,Defenseman,Defenseman,10,Toronto Maple Leafs,1430,Noah Hanifin,Defenseman,Defenseman,20,Calgary Flames,1520,129
Jay Beagle,Center,Forward,23,Vancouver Canucks,707,Loui Eriksson,Left Wing,Forward,23,Vancouver Canucks,641,129
Jon Merrill,Defenseman,Defenseman,17,Detroit Red Wings,947,Zach Whitecloud,Defenseman,Defenseman,54,Vegas Golden Knights,259,129
Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,1010,Trevor Moore,Center,Forward,26,Los Angeles Kings,570,129
