p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Jeff Carter,Center,Forward,5,Pittsburgh Penguins,1058,Blake Lizotte,Center,Forward,26,Los Angeles Kings,521,135
Nick Bjugstad,Center,Forward,30,Minnesota Wild,575,Kirill Kaprizov,Left Wing,Forward,30,Minnesota Wild,1255,135
Adam Pelech,Defenseman,Defenseman,2,New York Islanders,1770,Noah Dobson,Defenseman,Defenseman,2,New York Islanders,1095,135
Evgenii Dadonov,Right Wing,Forward,9,Ottawa Senators,875,Drake Batherson,Right Wing,Forward,9,Ottawa Senators,998,135
Calvin de Haan,Defenseman,Defenseman,16,Chicago Blackhawks,834,Ian Mitchell,Defenseman,Defenseman,16,Chicago Blackhawks,643,135
Max Domi,Center,Forward,29,Columbus Blue Jackets,971,Alexandre Texier,Center,Forward,29,Columbus Blue Jackets,844,135
Tom Wilson,Right Wing,Forward,15,Washington Capitals,979,Lars Eller,Center,Forward,15,Washington Capitals,843,135
Nolan Patrick,Center,Forward,4,Philadelphia Flyers,738,Nicolas Aube-Kubel,Right Wing,Forward,4,Philadelphia Flyers,582,136
Connor Brown,Right Wing,Forward,9,Ottawa Senators,1029,Ryan Dzingel,Left Wing,Forward,9,Ottawa Senators,523,136
Bo Horvat,Center,Forward,23,Vancouver Canucks,1197,Jake Virtanen,Right Wing,Forward,23,Vancouver Canucks,481,136
J.T. Miller,Center,Forward,23,Vancouver Canucks,1251,Jimmy Vesey,Left Wing,Forward,23,Vancouver Canucks,653,136
Oskar Lindblom,Left Wing,Forward,4,Philadelphia Flyers,659,Travis Konecny,Right Wing,Forward,4,Philadelphia Flyers,876,136
Conor Garland,Right Wing,Forward,53,Arizona Coyotes,946,Phil Kessel,Right Wing,Forward,53,Arizona Coyotes,990,136
Adam Larsson,Defenseman,Defenseman,22,Edmonton Oilers,1257,Slater Koekkoek,Defenseman,Defenseman,22,Edmonton Oilers,306,136
Erik Haula,Left Wing,Forward,18,Nashville Predators,1026,Mikael Granlund,Center,Forward,18,Nashville Predators,1260,136
Nikita Zadorov,Defenseman,Defenseman,16,Chicago Blackhawks,1089,Nicolas Beaudin,Defenseman,Defenseman,16,Chicago Blackhawks,277,137
Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1369,Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,137
David Backes,Right Wing,Forward,24,Anaheim Ducks,202,Nicolas Deslauriers,Left Wing,Forward,24,Anaheim Ducks,572,137
Matt Irwin,Defenseman,Defenseman,7,Buffalo Sabres,404,Brandon Montour,Defenseman,Defenseman,13,Florida Panthers,1165,137
Victor Mete,Defenseman,Defenseman,9,Ottawa Senators,462,Alexander Romanov,Defenseman,Defenseman,8,Montréal Canadiens,1020,138
Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1410,Jaden Schwartz,Left Wing,Forward,19,St. Louis Blues,800,138
Sam Lafferty,Right Wing,Forward,5,Pittsburgh Penguins,345,Zach Aston-Reese,Left Wing,Forward,5,Pittsburgh Penguins,774,138
Brock Boeser,Right Wing,Forward,23,Vancouver Canucks,1209,Tanner Pearson,Left Wing,Forward,23,Vancouver Canucks,910,138
Trevor Zegras,Center,Forward,24,Anaheim Ducks,427,Rickard Rakell,Left Wing,Forward,24,Anaheim Ducks,1070,138
Michael Raffl,Left Wing,Forward,15,Washington Capitals,650,Conor Sheary,Left Wing,Forward,15,Washington Capitals,837,138
Nathan Beaulieu,Defenseman,Defenseman,52,Winnipeg Jets,418,Josh Morrissey,Defenseman,Defenseman,52,Winnipeg Jets,1568,138
Steven Stamkos,Center,Forward,14,Tampa Bay Lightning,1146,Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,138
Kevin Shattenkirk,Defenseman,Defenseman,24,Anaheim Ducks,1274,Jacob Larsson,Defenseman,Defenseman,24,Anaheim Ducks,833,138
Brandon Hagel,Left Wing,Forward,16,Chicago Blackhawks,800,Pius Suter,Center,Forward,16,Chicago Blackhawks,1009,138
Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,138
Curtis Lazar,Center,Forward,6,Boston Bruins,781,Casey Mittelstadt,Center,Forward,7,Buffalo Sabres,715,139
Alex Chiasson,Right Wing,Forward,22,Edmonton Oilers,611,Devin Shore,Center,Forward,22,Edmonton Oilers,477,139
Jack Hughes,Center,Forward,1,New Jersey Devils,1139,Miles Wood,Left Wing,Forward,1,New Jersey Devils,839,139
Brandon Montour,Defenseman,Defenseman,13,Florida Panthers,1165,Henri Jokiharju,Defenseman,Defenseman,7,Buffalo Sabres,846,139
Nick Schmaltz,Center,Forward,53,Arizona Coyotes,949,Phil Kessel,Right Wing,Forward,53,Arizona Coyotes,990,139
Dryden Hunt,Left Wing,Forward,53,Arizona Coyotes,311,Phil Kessel,Right Wing,Forward,53,Arizona Coyotes,990,139
Patrick Kane,Right Wing,Forward,16,Chicago Blackhawks,1400,Carl Soderberg,Center,Forward,21,Colorado Avalanche,715,139
Zach Hyman,Left Wing,Forward,10,Toronto Maple Leafs,1017,William Nylander,Right Wing,Forward,10,Toronto Maple Leafs,1071,139
Nick Bonino,Center,Forward,30,Minnesota Wild,911,Marcus Johansson,Center,Forward,30,Minnesota Wild,689,139
Nick Ritchie,Left Wing,Forward,6,Boston Bruins,998,Sean Kuraly,Center,Forward,6,Boston Bruins,849,139
Joe Pavelski,Center,Forward,25,Dallas Stars,1130,Joel Kiviranta,Left Wing,Forward,25,Dallas Stars,317,139
Ryan O'Reilly,Center,Forward,19,St. Louis Blues,1410,Ivan Barbashev,Center,Forward,19,St. Louis Blues,568,139
Phillip Di Giuseppe,Left Wing,Forward,3,New York Rangers,358,Brett Howden,Center,Forward,3,New York Rangers,539,139
Eeli Tolvanen,Right Wing,Forward,18,Nashville Predators,719,Viktor Arvidsson,Right Wing,Forward,26,Los Angeles Kings,911,139
Antoine Roussel,Left Wing,Forward,23,Vancouver Canucks,425,Jay Beagle,Center,Forward,23,Vancouver Canucks,409,139
Tomas Hertl,Center,Forward,28,San Jose Sharks,994,Alexander Barabanov,Left Wing,Forward,28,San Jose Sharks,271,140
Rudolfs Balcers,Left Wing,Forward,28,San Jose Sharks,658,Logan Couture,Center,Forward,28,San Jose Sharks,1133,140
Brent Burns,Defenseman,Defenseman,28,San Jose Sharks,1573,Marc-Edouard Vlasic,Defenseman,Defenseman,28,San Jose Sharks,922,140
Patrick Marleau,Center,Forward,28,San Jose Sharks,785,Marcus Sorensen,Left Wing,Forward,28,San Jose Sharks,357,140
Cedric Paquette,Center,Forward,12,Carolina Hurricanes,466,Morgan Geekie,Center,Forward,12,Carolina Hurricanes,372,140
Milan Lucic,Left Wing,Forward,20,Calgary Flames,763,Sam Bennett,Center,Forward,13,Florida Panthers,817,140
J.T. Compher,Left Wing,Forward,21,Colorado Avalanche,855,Tyson Jost,Center,Forward,21,Colorado Avalanche,931,140
James van Riemsdyk,Left Wing,Forward,4,Philadelphia Flyers,991,Nolan Patrick,Center,Forward,4,Philadelphia Flyers,738,140
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1024,Matt Duchene,Center,Forward,18,Nashville Predators,671,140
Lawson Crouse,Left Wing,Forward,53,Arizona Coyotes,746,Derick Brassard,Center,Forward,53,Arizona Coyotes,813,140
Andreas Johnsson,Left Wing,Forward,1,New Jersey Devils,697,Jesper Bratt,Left Wing,Forward,1,New Jersey Devils,808,140
Brandon Saad,Left Wing,Forward,21,Colorado Avalanche,804,Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,952,140
Matthew Highmore,Center,Forward,23,Vancouver Canucks,523,David Kampf,Center,Forward,16,Chicago Blackhawks,891,141
Nicolas Roy,Center,Forward,54,Vegas Golden Knights,957,Cody Glass,Center,Forward,54,Vegas Golden Knights,406,141
Victor Olofsson,Left Wing,Forward,7,Buffalo Sabres,1053,Casey Mittelstadt,Center,Forward,7,Buffalo Sabres,715,141
Patrick Marleau,Center,Forward,28,San Jose Sharks,785,John Leonard,Left Wing,Forward,28,San Jose Sharks,506,141
Vladislav Gavrikov,Defenseman,Defenseman,29,Columbus Blue Jackets,1088,Michael Del Zotto,Defenseman,Defenseman,29,Columbus Blue Jackets,953,141
Evander Kane,Left Wing,Forward,28,San Jose Sharks,1268,Alexander Barabanov,Left Wing,Forward,28,San Jose Sharks,271,141
Nolan Patrick,Center,Forward,4,Philadelphia Flyers,738,Kevin Hayes,Center,Forward,4,Philadelphia Flyers,1050,141
Dylan Gambrell,Center,Forward,28,San Jose Sharks,865,Matt Nieto,Left Wing,Forward,28,San Jose Sharks,420,141
Adam Fox,Defenseman,Defenseman,3,New York Rangers,1436,K'Andre Miller,Defenseman,Defenseman,3,New York Rangers,1206,142
Jason Spezza,Center,Forward,10,Toronto Maple Leafs,695,Wayne Simmonds,Right Wing,Forward,10,Toronto Maple Leafs,556,142
Jason Dickinson,Center,Forward,25,Dallas Stars,918,Jason Robertson,Left Wing,Forward,25,Dallas Stars,909,142
Jakub Zboril,Defenseman,Defenseman,6,Boston Bruins,732,Charlie McAvoy,Defenseman,Defenseman,6,Boston Bruins,1691,142
Jan Rutta,Defenseman,Defenseman,14,Tampa Bay Lightning,1011,Erik Cernak,Defenseman,Defenseman,14,Tampa Bay Lightning,1391,142
Max Comtois,Left Wing,Forward,24,Anaheim Ducks,894,Trevor Zegras,Center,Forward,24,Anaheim Ducks,427,142
Zdeno Chara,Defenseman,Defenseman,15,Washington Capitals,1136,John Carlson,Defenseman,Defenseman,15,Washington Capitals,1426,142
Derek Grant,Center,Forward,24,Anaheim Ducks,670,Carter Rowney,Center,Forward,24,Anaheim Ducks,271,142
Pavel Buchnevich,Right Wing,Forward,3,New York Rangers,1095,Artemi Panarin,Left Wing,Forward,3,New York Rangers,908,143
Tyler Bozak,Center,Forward,19,St. Louis Blues,527,Zach Sanford,Left Wing,Forward,19,St. Louis Blues,834,143
Calvin de Haan,Defenseman,Defenseman,16,Chicago Blackhawks,834,Nikita Zadorov,Defenseman,Defenseman,16,Chicago Blackhawks,1089,143
Travis Zajac,Center,Forward,2,New York Islanders,1076,Miles Wood,Left Wing,Forward,1,New Jersey Devils,839,143
Tyler Johnson,Center,Forward,14,Tampa Bay Lightning,1101,Ross Colton,Center,Forward,14,Tampa Bay Lightning,582,143
Brian Dumoulin,Defenseman,Defenseman,5,Pittsburgh Penguins,1088,Cody Ceci,Defenseman,Defenseman,5,Pittsburgh Penguins,1182,143
Luke Schenn,Defenseman,Defenseman,14,Tampa Bay Lightning,556,Ryan McDonagh,Defenseman,Defenseman,14,Tampa Bay Lightning,1708,143
Lars Eller,Center,Forward,15,Washington Capitals,843,Alex Ovechkin,Left Wing,Forward,15,Washington Capitals,1064,144
Matt Roy,Defenseman,Defenseman,26,Los Angeles Kings,880,Mikey Anderson,Defenseman,Defenseman,26,Los Angeles Kings,1158,144
Bobby Ryan,Right Wing,Forward,17,Detroit Red Wings,523,Dylan Larkin,Center,Forward,17,Detroit Red Wings,983,144
Alex Tuch,Right Wing,Forward,54,Vegas Golden Knights,1341,Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1211,144
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,738,Oliver Bjorkstrand,Right Wing,Forward,29,Columbus Blue Jackets,1116,144
Connor Carrick,Defenseman,Defenseman,1,New Jersey Devils,205,Will Butcher,Defenseman,Defenseman,1,New Jersey Devils,470,144
Andy Greene,Defenseman,Defenseman,2,New York Islanders,1353,Nick Leddy,Defenseman,Defenseman,2,New York Islanders,1802,144
Jesperi Kotkaniemi,Center,Forward,8,Montréal Canadiens,1163,Jonathan Drouin,Left Wing,Forward,8,Montréal Canadiens,758,144
Joonas Donskoi,Right Wing,Forward,21,Colorado Avalanche,952,Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1241,144
Zach Parise,Left Wing,Forward,0,No team,698,Nick Bonino,Center,Forward,30,Minnesota Wild,911,145
Anton Stralman,Defenseman,Defenseman,13,Florida Panthers,870,Markus Nutivaara,Defenseman,Defenseman,13,Florida Panthers,552,145
Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,Steven Stamkos,Center,Forward,14,Tampa Bay Lightning,1146,145
Victor Rask,Center,Forward,30,Minnesota Wild,967,Nick Bonino,Center,Forward,30,Minnesota Wild,911,145
Brandon Saad,Left Wing,Forward,21,Colorado Avalanche,804,Tyson Jost,Center,Forward,21,Colorado Avalanche,931,145
Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1473,145
Valtteri Filppula,Center,Forward,17,Detroit Red Wings,628,Vladislav Namestnikov,Center,Forward,17,Detroit Red Wings,931,146
Brendan Lemieux,Left Wing,Forward,26,Los Angeles Kings,508,Kevin Rooney,Center,Forward,3,New York Rangers,687,146
Eric Robinson,Left Wing,Forward,29,Columbus Blue Jackets,703,Max Domi,Center,Forward,29,Columbus Blue Jackets,971,146
Brady Tkachuk,Left Wing,Forward,9,Ottawa Senators,1148,Chris Tierney,Center,Forward,9,Ottawa Senators,860,146
Nick Cousins,Center,Forward,18,Nashville Predators,808,Matt Duchene,Center,Forward,18,Nashville Predators,671,146
Kevan Miller,Defenseman,Defenseman,6,Boston Bruins,629,Jeremy Lauzon,Defenseman,Defenseman,6,Boston Bruins,938,146
Corey Perry,Right Wing,Forward,8,Montréal Canadiens,994,Josh Anderson,Right Wing,Forward,8,Montréal Canadiens,1318,146
Roope Hintz,Left Wing,Forward,25,Dallas Stars,793,Jamie Benn,Left Wing,Forward,25,Dallas Stars,1045,147
Patrick Kane,Right Wing,Forward,16,Chicago Blackhawks,1400,Kirby Dach,Center,Forward,16,Chicago Blackhawks,353,147
Tyler Bertuzzi,Left Wing,Forward,17,Detroit Red Wings,196,Dylan Larkin,Center,Forward,17,Detroit Red Wings,983,147
Jared McCann,Left Wing,Forward,5,Pittsburgh Penguins,730,Evan Rodrigues,Center,Forward,5,Pittsburgh Penguins,516,147
Sean Kuraly,Center,Forward,6,Boston Bruins,849,Trent Frederic,Center,Forward,6,Boston Bruins,474,147
Colin White,Center,Forward,9,Ottawa Senators,662,Tim Stützle,Left Wing,Forward,9,Ottawa Senators,905,147
Alex Chiasson,Right Wing,Forward,22,Edmonton Oilers,611,James Neal,Left Wing,Forward,22,Edmonton Oilers,372,147
Alex Chiasson,Right Wing,Forward,22,Edmonton Oilers,611,Gaetan Haas,Center,Forward,22,Edmonton Oilers,420,147
Elias Pettersson,Center,Forward,23,Vancouver Canucks,524,Bo Horvat,Center,Forward,23,Vancouver Canucks,1197,148
Adam Larsson,Defenseman,Defenseman,22,Edmonton Oilers,1257,Caleb Jones,Defenseman,Defenseman,16,Chicago Blackhawks,449,148
Nazem Kadri,Center,Forward,21,Colorado Avalanche,1024,Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1241,148
Jesper Bratt,Left Wing,Forward,1,New Jersey Devils,808,Kyle Palmieri,Right Wing,Forward,2,New York Islanders,1256,148
Max Pacioretty,Left Wing,Forward,54,Vegas Golden Knights,1211,Cody Glass,Center,Forward,54,Vegas Golden Knights,406,148
Logan Couture,Center,Forward,28,San Jose Sharks,1133,Timo Meier,Right Wing,Forward,28,San Jose Sharks,917,148
Corey Perry,Right Wing,Forward,8,Montréal Canadiens,994,Jake Evans,Center,Forward,8,Montréal Canadiens,721,148
Matt Duchene,Center,Forward,18,Nashville Predators,671,Mikael Granlund,Center,Forward,18,Nashville Predators,1260,148
TJ Brodie,Defenseman,Defenseman,10,Toronto Maple Leafs,1420,Zach Bogosian,Defenseman,Defenseman,10,Toronto Maple Leafs,809,148
Brock McGinn,Left Wing,Forward,12,Carolina Hurricanes,748,Jordan Staal,Center,Forward,12,Carolina Hurricanes,1302,148
Chris Tierney,Center,Forward,9,Ottawa Senators,860,Ryan Dzingel,Left Wing,Forward,9,Ottawa Senators,523,148
Pius Suter,Center,Forward,16,Chicago Blackhawks,1009,Philipp Kurashev,Center,Forward,16,Chicago Blackhawks,767,149
Johnny Gaudreau,Left Wing,Forward,20,Calgary Flames,1144,Brett Ritchie,Right Wing,Forward,20,Calgary Flames,364,149
Josh Anderson,Right Wing,Forward,8,Montréal Canadiens,1318,Tyler Toffoli,Right Wing,Forward,8,Montréal Canadiens,1423,149
Mike Hoffman,Center,Forward,19,St. Louis Blues,941,Zach Sanford,Left Wing,Forward,19,St. Louis Blues,834,149
Derick Brassard,Center,Forward,53,Arizona Coyotes,813,Conor Garland,Right Wing,Forward,53,Arizona Coyotes,946,149
Kevin Rooney,Center,Forward,3,New York Rangers,687,Julien Gauthier,Right Wing,Forward,3,New York Rangers,298,150
Patric Hornqvist,Right Wing,Forward,13,Florida Panthers,875,Frank Vatrano,Center,Forward,13,Florida Panthers,1005,150
Antoine Roussel,Left Wing,Forward,23,Vancouver Canucks,425,Adam Gaudette,Center,Forward,16,Chicago Blackhawks,457,150
Dylan Strome,Center,Forward,16,Chicago Blackhawks,667,Philipp Kurashev,Center,Forward,16,Chicago Blackhawks,767,150
Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,949,Scott Laughton,Center,Forward,4,Philadelphia Flyers,851,150
Drake Batherson,Right Wing,Forward,9,Ottawa Senators,998,Chris Tierney,Center,Forward,9,Ottawa Senators,860,150
Ivan Provorov,Defenseman,Defenseman,4,Philadelphia Flyers,1562,Philippe Myers,Defenseman,Defenseman,4,Philadelphia Flyers,862,150
Gabriel Landeskog,Left Wing,Forward,21,Colorado Avalanche,1427,Andre Burakovsky,Left Wing,Forward,21,Colorado Avalanche,1003,150
P.K. Subban,Defenseman,Defenseman,1,New Jersey Devils,1049,Damon Severson,Defenseman,Defenseman,1,New Jersey Devils,1305,150
Alexander Edler,Defenseman,Defenseman,23,Vancouver Canucks,1130,Jalen Chatfield,Defenseman,Defenseman,23,Vancouver Canucks,257,151
Ryan Graves,Defenseman,Defenseman,21,Colorado Avalanche,1275,Conor Timmins,Defenseman,Defenseman,21,Colorado Avalanche,539,151
Patrice Bergeron,Center,Forward,6,Boston Bruins,1274,David Krejci,Center,Forward,6,Boston Bruins,1277,151
Brock McGinn,Left Wing,Forward,12,Carolina Hurricanes,748,Warren Foegele,Left Wing,Forward,12,Carolina Hurricanes,942,151
Mike Hoffman,Center,Forward,19,St. Louis Blues,941,Oskar Sundqvist,Center,Forward,19,St. Louis Blues,479,151
James van Riemsdyk,Left Wing,Forward,4,Philadelphia Flyers,991,Claude Giroux,Center,Forward,4,Philadelphia Flyers,1088,151
Anders Bjork,Left Wing,Forward,7,Buffalo Sabres,690,Sean Kuraly,Center,Forward,6,Boston Bruins,849,151
Claude Giroux,Center,Forward,4,Philadelphia Flyers,1088,Joel Farabee,Left Wing,Forward,4,Philadelphia Flyers,949,151
Mike Reilly,Defenseman,Defenseman,6,Boston Bruins,1342,Connor Clifton,Defenseman,Defenseman,6,Boston Bruins,1025,151
Dylan Gambrell,Center,Forward,28,San Jose Sharks,865,Marcus Sorensen,Left Wing,Forward,28,San Jose Sharks,357,152
Adam Henrique,Center,Forward,24,Anaheim Ducks,845,Trevor Zegras,Center,Forward,24,Anaheim Ducks,427,152
Jordan Eberle,Right Wing,Forward,2,New York Islanders,1336,Jean-Gabriel Pageau,Center,Forward,2,New York Islanders,1372,152
Derick Brassard,Center,Forward,53,Arizona Coyotes,813,Clayton Keller,Right Wing,Forward,53,Arizona Coyotes,970,152
Ryan Hartman,Right Wing,Forward,30,Minnesota Wild,888,Jordan Greenway,Left Wing,Forward,30,Minnesota Wild,1086,152
Pierre-Edouard Bellemare,Center,Forward,21,Colorado Avalanche,713,Tyson Jost,Center,Forward,21,Colorado Avalanche,931,152
Brad Marchand,Left Wing,Forward,6,Boston Bruins,1335,Nick Ritchie,Left Wing,Forward,6,Boston Bruins,998,152
Mikhail Grigorenko,Center,Forward,29,Columbus Blue Jackets,440,Jack Roslovic,Center,Forward,29,Columbus Blue Jackets,895,152
Mathieu Perreault,Left Wing,Forward,52,Winnipeg Jets,755,Andrew Copp,Center,Forward,52,Winnipeg Jets,1246,152
Charlie Coyle,Center,Forward,6,Boston Bruins,1079,Sean Kuraly,Center,Forward,6,Boston Bruins,849,153
Victor Rask,Center,Forward,30,Minnesota Wild,967,Marcus Johansson,Center,Forward,30,Minnesota Wild,689,153
Eric Staal,Center,Forward,8,Montréal Canadiens,1054,Dylan Cozens,Center,Forward,7,Buffalo Sabres,590,153
David Kampf,Center,Forward,16,Chicago Blackhawks,891,Patrick Kane,Right Wing,Forward,16,Chicago Blackhawks,1400,153
Pierre Engvall,Left Wing,Forward,10,Toronto Maple Leafs,574,Alexander Kerfoot,Center,Forward,10,Toronto Maple Leafs,967,154
Kris Russell,Defenseman,Defenseman,22,Edmonton Oilers,692,Tyson Barrie,Defenseman,Defenseman,22,Edmonton Oilers,1393,154
Charlie Coyle,Center,Forward,6,Boston Bruins,1079,Trent Frederic,Center,Forward,6,Boston Bruins,474,154
Charlie Coyle,Center,Forward,6,Boston Bruins,1079,Anders Bjork,Left Wing,Forward,7,Buffalo Sabres,690,154
Juuso Valimaki,Defenseman,Defenseman,20,Calgary Flames,790,Michael Stone,Defenseman,Defenseman,20,Calgary Flames,338,154
Jake Guentzel,Left Wing,Forward,5,Pittsburgh Penguins,1353,Kasperi Kapanen,Right Wing,Forward,5,Pittsburgh Penguins,793,154
Erik Haula,Left Wing,Forward,18,Nashville Predators,1026,Colton Sissons,Center,Forward,18,Nashville Predators,916,154
Torey Krug,Defenseman,Defenseman,19,St. Louis Blues,1369,Colton Parayko,Defenseman,Defenseman,19,St. Louis Blues,801,154
Rasmus Andersson,Defenseman,Defenseman,20,Calgary Flames,1192,Nikita Nesterov,Defenseman,Defenseman,20,Calgary Flames,605,155
Andrew Shaw,Right Wing,Forward,16,Chicago Blackhawks,292,Pius Suter,Center,Forward,16,Chicago Blackhawks,1009,155
Nate Thompson,Center,Forward,52,Winnipeg Jets,517,Jansen Harkins,Center,Forward,52,Winnipeg Jets,246,155
Jeff Skinner,Left Wing,Forward,7,Buffalo Sabres,770,Casey Mittelstadt,Center,Forward,7,Buffalo Sabres,715,155
Brett Howden,Center,Forward,3,New York Rangers,539,Brendan Lemieux,Left Wing,Forward,26,Los Angeles Kings,508,155
Kevin Shattenkirk,Defenseman,Defenseman,24,Anaheim Ducks,1274,Cam Fowler,Defenseman,Defenseman,24,Anaheim Ducks,1329,155
Jason Dickinson,Center,Forward,25,Dallas Stars,918,Andrew Cogliano,Center,Forward,25,Dallas Stars,760,155
Mikael Backlund,Center,Forward,20,Calgary Flames,956,Matthew Tkachuk,Left Wing,Forward,20,Calgary Flames,1064,155
Kevin Fiala,Left Wing,Forward,30,Minnesota Wild,1030,Jordan Greenway,Left Wing,Forward,30,Minnesota Wild,1086,155
Calle Jarnkrok,Center,Forward,18,Nashville Predators,1024,Erik Haula,Left Wing,Forward,18,Nashville Predators,1026,155
Ben Chiarot,Defenseman,Defenseman,8,Montréal Canadiens,1641,Joel Edmundson,Defenseman,Defenseman,8,Montréal Canadiens,1659,155
Kyle Palmieri,Right Wing,Forward,2,New York Islanders,1256,Oliver Wahlstrom,Right Wing,Forward,2,New York Islanders,649,155
Jamie Benn,Left Wing,Forward,25,Dallas Stars,1045,Jason Robertson,Left Wing,Forward,25,Dallas Stars,909,155
Keith Yandle,Defenseman,Defenseman,13,Florida Panthers,1040,Anton Stralman,Defenseman,Defenseman,13,Florida Panthers,870,156
Warren Foegele,Left Wing,Forward,12,Carolina Hurricanes,942,Andrei Svechnikov,Right Wing,Forward,12,Carolina Hurricanes,1307,156
Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,Alexander Volkov,Right Wing,Forward,24,Anaheim Ducks,431,156
Sam Gagner,Center,Forward,17,Detroit Red Wings,649,Filip Zadina,Right Wing,Forward,17,Detroit Red Wings,858,156
Jack Roslovic,Center,Forward,29,Columbus Blue Jackets,895,Max Domi,Center,Forward,29,Columbus Blue Jackets,971,156
Michael Rasmussen,Center,Forward,17,Detroit Red Wings,609,Filip Zadina,Right Wing,Forward,17,Detroit Red Wings,858,156
Zach Parise,Left Wing,Forward,0,No team,698,Kirill Kaprizov,Left Wing,Forward,30,Minnesota Wild,1255,157
Mathieu Joseph,Right Wing,Forward,14,Tampa Bay Lightning,758,Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,157
Gabriel Vilardi,Center,Forward,26,Los Angeles Kings,831,Trevor Moore,Center,Forward,26,Los Angeles Kings,814,157
T.J. Oshie,Right Wing,Forward,15,Washington Capitals,1160,Anthony Mantha,Right Wing,Forward,15,Washington Capitals,1219,157
Mattias Janmark,Center,Forward,54,Vegas Golden Knights,1208,Dylan Strome,Center,Forward,16,Chicago Blackhawks,667,157
Pavel Buchnevich,Right Wing,Forward,3,New York Rangers,1095,Ryan Strome,Center,Forward,3,New York Rangers,1074,157
Zack Kassian,Right Wing,Forward,22,Edmonton Oilers,429,Ryan Nugent-Hopkins,Center,Forward,22,Edmonton Oilers,1211,157
Kyle Palmieri,Right Wing,Forward,2,New York Islanders,1256,Brock Nelson,Center,Forward,2,New York Islanders,1517,157
Tucker Poolman,Defenseman,Defenseman,52,Winnipeg Jets,928,Logan Stanley,Defenseman,Defenseman,52,Winnipeg Jets,639,157
Jonathan Huberdeau,Left Wing,Forward,13,Florida Panthers,1289,Owen Tippett,Right Wing,Forward,13,Florida Panthers,598,157
Jason Zucker,Left Wing,Forward,5,Pittsburgh Penguins,740,Bryan Rust,Right Wing,Forward,5,Pittsburgh Penguins,1275,158
Josh Leivo,Left Wing,Forward,20,Calgary Flames,413,Derek Ryan,Center,Forward,20,Calgary Flames,511,158
Mike Hoffman,Center,Forward,19,St. Louis Blues,941,Tyler Bozak,Center,Forward,19,St. Louis Blues,527,158
Pat Maroon,Left Wing,Forward,14,Tampa Bay Lightning,942,Ondrej Palat,Left Wing,Forward,14,Tampa Bay Lightning,1434,158
Roman Josi,Defenseman,Defenseman,18,Nashville Predators,1462,Alexandre Carrier,Defenseman,Defenseman,18,Nashville Predators,576,158
Kirill Kaprizov,Left Wing,Forward,30,Minnesota Wild,1255,Nick Bonino,Center,Forward,30,Minnesota Wild,911,158
Gustav Lindstrom,Defenseman,Defenseman,17,Detroit Red Wings,238,Danny DeKeyser,Defenseman,Defenseman,17,Detroit Red Wings,869,159
Rasmus Dahlin,Defenseman,Defenseman,7,Buffalo Sabres,1265,Rasmus Ristolainen,Defenseman,Defenseman,7,Buffalo Sabres,1185,159
William Nylander,Right Wing,Forward,10,Toronto Maple Leafs,1071,Mitchell Marner,Right Wing,Forward,10,Toronto Maple Leafs,1545,159
Arttu Ruotsalainen,Center,Forward,7,Buffalo Sabres,238,Dylan Cozens,Center,Forward,7,Buffalo Sabres,590,159
Frank Vatrano,Center,Forward,13,Florida Panthers,1005,Noel Acciari,Center,Forward,13,Florida Panthers,748,159
Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1369,Alex Killorn,Left Wing,Forward,14,Tampa Bay Lightning,1473,159
Sam Lafferty,Right Wing,Forward,5,Pittsburgh Penguins,345,Mark Jankowski,Center,Forward,5,Pittsburgh Penguins,492,159
Dillon Dube,Center,Forward,20,Calgary Flames,697,Mikael Backlund,Center,Forward,20,Calgary Flames,956,159
Nazem Kadri,Center,Forward,21,Colorado Avalanche,1024,Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,984,159
Dylan Cozens,Center,Forward,7,Buffalo Sabres,590,Taylor Hall,Left Wing,Forward,6,Boston Bruins,1273,159
Tanner Pearson,Left Wing,Forward,23,Vancouver Canucks,910,Jake Virtanen,Right Wing,Forward,23,Vancouver Canucks,481,160
