p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Mario Ferraro,Defenseman,Defenseman,28,San Jose Sharks,1325,Brent Burns,Defenseman,Defenseman,28,San Jose Sharks,1573,1054
Ryan Suter,Defenseman,Defenseman,0,No team,1442,Jared Spurgeon,Defenseman,Defenseman,30,Minnesota Wild,1470,1061
Jake Muzzin,Defenseman,Defenseman,10,Toronto Maple Leafs,1331,Justin Holl,Defenseman,Defenseman,10,Toronto Maple Leafs,1382,1065
Nathan MacKinnon,Center,Forward,21,Colorado Avalanche,1241,Mikko Rantanen,Right Wing,Forward,21,Colorado Avalanche,1324,1068
Derek Forbort,Defenseman,Defenseman,52,Winnipeg Jets,1416,Neal Pionk,Defenseman,Defenseman,52,Winnipeg Jets,1493,1072
Shea Weber,Defenseman,Defenseman,8,Montréal Canadiens,1761,Ben Chiarot,Defenseman,Defenseman,8,Montréal Canadiens,1641,1079
Jeff Petry,Defenseman,Defenseman,8,Montréal Canadiens,1952,Joel Edmundson,Defenseman,Defenseman,8,Montréal Canadiens,1659,1082
William Karlsson,Center,Forward,54,Vegas Golden Knights,1505,Jonathan Marchessault,Center,Forward,54,Vegas Golden Knights,1431,1087
Josh Bailey,Right Wing,Forward,2,New York Islanders,1396,Brock Nelson,Center,Forward,2,New York Islanders,1517,1088
Jordan Eberle,Right Wing,Forward,2,New York Islanders,1336,Mathew Barzal,Center,Forward,2,New York Islanders,1436,1092
Blake Coleman,Center,Forward,14,Tampa Bay Lightning,1369,Barclay Goodrow,Center,Forward,14,Tampa Bay Lightning,1277,1099
Reilly Smith,Right Wing,Forward,54,Vegas Golden Knights,1342,William Karlsson,Center,Forward,54,Vegas Golden Knights,1505,1139
Gabriel Landeskog,Left Wing,Forward,21,Colorado Avalanche,1427,Mikko Rantanen,Right Wing,Forward,21,Colorado Avalanche,1324,1139
Patrice Bergeron,Center,Forward,6,Boston Bruins,1274,Brad Marchand,Left Wing,Forward,6,Boston Bruins,1335,1151
Adam Pelech,Defenseman,Defenseman,2,New York Islanders,1770,Ryan Pulock,Defenseman,Defenseman,2,New York Islanders,1861,1192
Sidney Crosby,Center,Forward,5,Pittsburgh Penguins,1362,Jake Guentzel,Left Wing,Forward,5,Pittsburgh Penguins,1353,1252
Mitchell Marner,Right Wing,Forward,10,Toronto Maple Leafs,1545,Auston Matthews,Center,Forward,10,Toronto Maple Leafs,1508,1304
Ondrej Palat,Left Wing,Forward,14,Tampa Bay Lightning,1434,Brayden Point,Center,Forward,14,Tampa Bay Lightning,1580,1398
